Abbrev	Ciudad	Region	Universidad-CO	Grado	Grado-Prev	Campo-Estudio	Fulbright-Grant	Genero	Area-Estudio	Departamento	Grado-Area-Estudio	Universidad-US	Cohorte
JWF	PEREIRA	Eje Cafetero	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP	MASTER'S	BACHELOR	MEDICINA	BECA J. WILLIAM FULBRIGHT	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	RISARALDA		University of Alabama at Birmingham	2006
HHH	BUCARAMANGA	Santanderes	UNIVERSIDAD NACIONAL DE COLOMBIA	INV & DOC	BACHELOR	MEDICINA	BECA HUBERT H. HUMPHREY	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SANTANDER		Johns Hopkins University	1988
JWF	MITU	Amazonia	UNIVERSIDAD NACIONAL DE COLOMBIA	MASTER'S	BACHELOR	MEDICINA	BECA J. WILLIAM FULBRIGHT	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	VAUPES		University of Washington	2002
AMZ	LETICIA	Amazonia	UNIVERSIDAD DE LOS ANDES	MASTER'S	BACHELOR	MICROBIOLOGIA	BECA PARA EL ESTUDIO DE LA CUENCA AMAZONICA	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	AMAZONAS		SUNY College of Environmental Science and Forestry	1997
FLTA	CALARCA	Eje Cafetero	UNIVERSIDAD DEL QUINDIO	INV & DOC	BACHELOR	MODERN LANGUAGES	BECA PROFESOR COLOMBIANO DE INGLES	FEMALE	EDUCATION	QUINDIO	TEACHING ASSISTANTS/AIDES	The College of Wooster	2014
ARTS	MANIZALES	Eje Cafetero	UNIVERSIDAD DE CALDAS	MASTER'S	BACHELOR	MUSIC	BECA FULBRIGHT - MINCULTURA PARA ARTISTAS	MALE	ART & ARCHITECTURE	CALDAS		New York University	2015
ARTS	ENVIGADO	Valle Aburra	UNIVERSIDAD EAFIT-	Ph.D.	BACHELOR	MUSIC PERFORMANCE, GENERAL	BECA FULBRIGHT - MINCULTURA PARA ARTISTAS	MALE	ART & ARCHITECTURE	ANTIOQUIA	MUSICOLOGY AND ETHNOMUSICOLOGY	University of Pittsburgh - Main Campus	2013
LID	BUENAVENTURA	Pacifico	UNIVERSIDAD AUTONOMA DE OCCIDENTE	MASTER'S	BACHELOR	NATURAL RESOURCES/CONSERVATION, GENERAL	BECA PARA LIDERES AFRODESCENDIENTES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	VALLE DEL CAUCA	M.A. COMMUNITY AND REGIONAL PLANNING	University of Oregon	2013
EDC	CARTAGENA	Caribe	UNIVERSIDAD DE CARTAGENA	INV & DOC	BACHELOR	PHARMACEUTICAL CHEMISTRY	BECA ESTUDIANTE DOCTORAL COLOMBIANO	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	BOLIVAR		Johns Hopkins University	2014
VS	CARTAGENA	Caribe	UNIVERSIDAD DE CARTAGENA	INV & DOC	BACHELOR	PHARMACEUTICAL SCIENCES	BECA PROFESOR INVESTIGADOR VISITANTE COLOMBIANO	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	BOLIVAR	METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS	WESTCHESTER MEDICAL CENTER	2015
CLC- FLB	BELLO	Valle Aburra	UNIVERSIDAD EAFIT-	Ph.D.	BACHELOR	PROCESS ENGINEERING	BECA COLCIENCIAS FULBRIGHT	MALE	ENGINEERING & APPLIED SCIENCES	ANTIOQUIA	Ph.D. CHEMICAL ENGINEERING	Louisiana State University and A&M College	2015
EST. CUL	SAN ANDRES	Caribe	UNIVERSIDAD SANTO TOMAS	MASTER'S	BACHELOR	PSICOLOGIA	BECA DE ESTUDIOS CULTURALES PARA COMUNIDADES AFRODESCENDIENTES E INDIGENAS	FEMALE	HUMANITIES & SOCIAL SCIENCES	ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA	MASTER OF SOCIAL WORK	University of Pittsburgh - Main Campus	2009
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	MASTER'S	BACHELOR	PSICOLOGIA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	HUMANITIES & SOCIAL SCIENCES	ATLANTICO		University of Dallas	2002
FLB-LSP	CARTAGENA	Caribe	UNIVERSIDAD DEL NORTE	MASTER'S	BACHELOR	PSICOLOGIA	BECA FULBRIGHT-LASPAU	FEMALE	HUMANITIES & SOCIAL SCIENCES	BOLIVAR	SOCIAL PSYCHOLOGY	Loyola University of Chicago	1991
FLB-LSP	MANIZALES	Eje Cafetero	UNIVERSIDAD DE LOS ANDES	MASTER'S	BACHELOR	PSICOLOGIA	BECA FULBRIGHT-LASPAU	MALE	HUMANITIES & SOCIAL SCIENCES	CALDAS		University of Hawaii at Manoa	1988
FLB-LSP	MANIZALES	Eje Cafetero	UNIVERSIDAD DE MANIZALES	MASTER'S	BACHELOR	PSICOLOGIA	BECA FULBRIGHT-LASPAU	MALE	HUMANITIES & SOCIAL SCIENCES	CALDAS		Ohio University - Main Campus	1988
JWF	SANTA MARTA	Caribe		MASTER'S	BACHELOR	PSICOLOGIA	BECA J. WILLIAM FULBRIGHT	FEMALE	HUMANITIES & SOCIAL SCIENCES	MAGDALENA		Northeastern University	1997
HHH	BUCARAMANGA	Santanderes	PONTIFICIA UNIVERSIDAD JAVERIANA	INV & DOC	BACHELOR	PSICOLOGIA	BECA HUBERT H. HUMPHREY	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SANTANDER		Indiana University Bloomington	1991
CLC- FLB	PEREIRA	Eje Cafetero	UNIVERSIDAD DEL VALLE	Ph.D.	BACHELOR	PSYCHOLOGY	BECA COLCIENCIAS FULBRIGHT	MALE	HUMANITIES & SOCIAL SCIENCES	RISARALDA	Ph.D. APPLIED DEVELOPMENTAL PSYCHOLOGY	Fordham University	2015
PETRO	BUCARAMANGA	Santanderes	PONTIFICIA UNIVERSIDAD JAVERIANA	MASTER'S	BACHELOR	PSYCHOLOGY, GENERAL	BECA PARA EL DESARROLLO DE LAS REGIONES PETROLERAS	FEMALE	EDUCATION	SANTANDER	M.A. WOMEN, GENDER AND SEXUALITY STUDIES	Oregon State University	2014
FLB-LSP	BUCARAMANGA	Santanderes	UNIVERSIDAD NACIONAL DE COLOMBIA	MASTER'S	BACHELOR	QUIMICA	BECA FULBRIGHT-LASPAU	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SANTANDER		SUNY College of Environmental Science and Forestry	1978
FLB-LSP	PEREIRA	Eje Cafetero	UNIVERSIDAD NACIONAL DE COLOMBIA	MASTER'S	BACHELOR	QUIMICA	BECA FULBRIGHT-LASPAU	FEMALE	ENGINEERING & APPLIED SCIENCES	RISARALDA		SUNY College of Environmental Science and Forestry	1985
FLB-LSP	CARTAGENA	Caribe	UNIVERSIDAD DE CARTAGENA	MASTER'S	BACHELOR	QUIMICA FARMACEUTICA	BECA FULBRIGHT-LASPAU	FEMALE	PHYSICAL SCIENCES & MATHEMATICS	BOLIVAR		The University of Tennessee - Knoxville	1988
FLB-CLC	CARTAGENA	Caribe	UNIVERSIDAD DE CARTAGENA	Ph.D.	BACHELOR	QUIMICA FARMACEUTICA	BECA FULBRIGHT-COLCIENCIAS	MALE	PHYSICAL SCIENCES & MATHEMATICS	BOLIVAR		Michigan State University	1996
FLB-LSP	PEREIRA	Eje Cafetero	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP	MASTER'S	BACHELOR	SICOPEDAGOGIA Y AUDIOVISUAL	BECA FULBRIGHT-LASPAU	FEMALE	HUMANITIES & SOCIAL SCIENCES	RISARALDA		University of Iowa	1987
CLC- FLB	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	SYSTEMS ENGINEERING	BECA COLCIENCIAS FULBRIGHT	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	Ph.D. COMPUTER ENGINEERING	University of Florida	2014
CLC- FLB	PASTO	Sur Occidente	UNIVERSIDAD DE NARIÑO	Ph.D.	BACHELOR	SYSTEMS ENGINERING	BECA COLCIENCIAS FULBRIGHT	MALE	ENGINEERING & APPLIED SCIENCES	NARIÑO	Ph.D. COMPUTER SCIENCE AND ENGINEERING	University of California, Riverside	2015
