Abbrev	Ciudad	Region	Universidad-CO	Grado	Grado-Prev	Campo-Estudio	Fulbright-Grant	Genero	Area-Estudio	Departamento	Grado-Area-Estudio	Universidad-US	Cohorte
SRM	ENVIGADO	Valle Aburra	UNIVERSIDAD DE ANTIOQUIA	MASTER'S	BACHELOR	COMPUTER/INFORMATION TECHNOLOGY SERVICES ADMINISTRATION & MANAGEMENT, OTHER	BECA FULBRIGHT - SURAMERICANA	FEMALE	ENGINEERING & APPLIED SCIENCES	ANTIOQUIA	M.S. INFORMATION TECHNOLOGY MANAGEMENT	Worcester Polytechnic Institute	2011
CALDAS	BARRANQUILLA	Caribe	UNIVERSIDAD LIBRE	Ph.D.	BACHELOR	MEDICAL MICROBIOLOGY AND BACTERIOLOGY	BECA COLCIENCIAS FULBRIGHT	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	ATLANTICO	Ph.D. ALLERGY, IMMUNOLOGY AND INFECTIOUS DISEASE	University of South Florida	2011
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	INGENIERIA AGRONOMICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS			2008
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD DE MANIZALES	Ph.D.	BACHELOR	COMUNICACION SOCIAL	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	HUMANITIES & SOCIAL SCIENCES	CALDAS			2008
LID	SANTANDER DE QUILICHAO	Sur Occidente	ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ	MASTER'S	BACHELOR	ADMINISTRACION AERONAUTICA	BECA PARA LIDERES AFRODESCENDIENTES	MALE	LAW	CAUCA			2009
CALDAS	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	COMPUTER PROGRAMMING/PROGRAMMER, GENERAL	BECA COLCIENCIAS FULBRIGHT	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	Ph.D. INFORMATION TECHNOLOGY	George Mason University	2011
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	BIOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS	Ph.D. ENTOMOLOGY	Purdue University	2010
CALDAS	CUMARAL	Llanos Orientales	PONTIFICIA UNIVERSIDAD JAVERIANA	Ph.D.	BACHELOR	NATURAL RESOURCES AND CONSERVATION, OTHER	BECA COLCIENCIAS FULBRIGHT	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	META	Ph.D. ECOLOGY	Duke University	2011
CERR	RIOHACHA	Caribe	COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO	MASTER'S	BACHELOR	FINANCE AND FINANCIAL MANAGEMENT SERVICES, OTHER	BECA FULBRIGHT - CERREJON PARA LA GUAJIRA	FEMALE	BUSINESS ADMINISTRATION & MANAGEMENT	LA GUAJIRA	M.S. TOURISM & HOSPITALITY MANAGEMENT	Temple University	2011
LID	SAN ANDRES	Caribe	UNIVERSIDAD DE MEDELLIN	Ph.D.	BACHELOR	STATISTICS, GENERAL	BECA PARA LIDERES AFRODESCENDIENTES	FEMALE	HUMANITIES & SOCIAL SCIENCES	ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA	Ph.D. SOCIOLOGY	University of Miami	2011
LID	TUMACO	Pacifico	UNIVERSIDAD DEL VALLE	Ph.D.	BACHELOR	ECONOMICS, GENERAL	BECA PARA LIDERES AFRODESCENDIENTES	FEMALE	HUMANITIES & SOCIAL SCIENCES	NARIÑO	DEVELOPMENT ECONOMICS AND INTERNATIONAL DEVELOPMENT	Florida State University	2011
LID	SAN ANDRES	Caribe	COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO	MASTER'S	BACHELOR	RELACIONES INTERNACIONALES	BECA PARA LIDERES AFRODESCENDIENTES	MALE	HUMANITIES & SOCIAL SCIENCES	ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA	M.P.A. MASTER IN PUBLIC AFFAIRS	Cornell University	2010
EST. CUL	MANIZALES	Eje Cafetero	UNIVERSIDAD DE CALDAS	MASTER'S	BACHELOR	PHILOSOPHY, OTHER	BECA DE ESTUDIOS CULTURALES PARA COMUNIDADES AFRODESCENDIENTES E INDIGENAS	MALE	HUMANITIES & SOCIAL SCIENCES	CALDAS	M.A. PHILOSOPHY	Southern Illinois University Carbondale	2011
REG	MONTERIA	Caribe	UNIVERSIDAD DE CORDOBA	MASTER'S	BACHELOR	ENGLISH/LANGUAGE ARTS TEACHER EDUCATION	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	EDUCATION	CORDOBA	M.A. TESOL/APPLIED LINGUISTICS	Indiana University Bloomington	2011
CALDAS	ITAGUI	Valle Aburra	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	ENGINEERING, OTHER	BECA COLCIENCIAS FULBRIGHT	MALE	ENGINEERING & APPLIED SCIENCES	ANTIOQUIA	Ph.D. CHEMICAL ENGINEERING	Washington State University	2011
LID	QUIBDO	Pacifico	UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA	MASTER'S	BACHELOR	LAW (LL.B., J.D.)	BECA PARA LIDERES AFRODESCENDIENTES	MALE	LAW	CHOCO	LL.M. INTERNATIONAL LAW	American University	2011
CLC-DNP	TUNJA	Cundi-Boyacense	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	FILOLOGIA E IDIOMAS INGLES	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	EDUCATION	BOYACA	Ph.D. TEACHING ENGLISH AS A SECOND LANGUAGE	University of Arizona	2010
REG	BARRANQUILLA	Caribe	UNIVERSIDAD DEL ATLANTICO	MASTER'S	BACHELOR	FILOSOFIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	HUMANITIES & SOCIAL SCIENCES	ATLANTICO	M.A. PHILOSOPHY	SUNY Stony Brook	2010
CALDAS	CARTAGENA	Caribe	UNIVERSIDAD DE CARTAGENA	Ph.D.	BACHELOR	CHEMISTRY, GENERAL	BECA COLCIENCIAS FULBRIGHT	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	BOLIVAR	Ph.D. CHEMISTRY	SUNY at Buffalo	2011
CALDAS	VILLAVICENCIO	Llanos Orientales	UNIVERSIDAD DE LOS LLANOS	Ph.D.	BACHELOR	VETERINARY MEDICINE (DVM)	BECA COLCIENCIAS FULBRIGHT	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	META	Ph.D. PHARMACOLOGY AND TOXICOLOGY	University of California - Davis	2011
CLC-DNP	CHINCHINA	Eje Cafetero	UNIVERSIDAD DE CALDAS	Ph.D.	BACHELOR	INGENERIA AGRONOMICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS	Ph.D. PLANT PATHOLOGY	Michigan State University	2010
REG	CHINCHINA	Eje Cafetero	UNIVERSIDAD DE CALDAS	Ph.D.	BACHELOR	AGRONOMIA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS	Ph.D. ENTOMOLOGY	Pennsylvania State University	2010
SRM	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	MASTER'S	BACHELOR	INGENIERIA MECANICA	BECA FULBRIGHT - SURAMERICANA	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	M.S. IN INDUSTRIAL TECHNOLOGY	Purdue University	2010
CALDAS	MANIZALES	Eje Cafetero	UNIVERSIDAD DE CALDAS	Ph.D.	BACHELOR	PHILOSOPHY	BECA COLCIENCIAS FULBRIGHT	FEMALE	HUMANITIES & SOCIAL SCIENCES	CALDAS	Ph.D. PHILOSOPHY	University of Oklahoma	2011
REG	BARRANQUILLA	Caribe	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	ECONOMIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	HUMANITIES & SOCIAL SCIENCES	ATLANTICO	ECONOMICS OF EDUCATION	University of Arkansas, Fayetteville	2010
REG	VILLAVICENCIO	Llanos Orientales	UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS	Ph.D.	BACHELOR	INGENIERIA ELECTRONICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	META	TELECOMMUNICATIONS ENGINEERING	University of North Dakota	2010
LID	PASTO	Sur Occidente	UNIVERSIDAD DE NARIÑO	Ph.D.	BACHELOR	NATURAL RESOURCES AND CONSERVATION, OTHER	BECA PARA LIDERES AFRODESCENDIENTES	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	NARIÑO	Ph.D. PHILOSOPHY IN NATURAL RESOURCES	University of Nebraska - Lincoln	2011
LID	QUIBDO	Pacifico	UNIVERSIDAD DE ANTIOQUIA	Ph.D.	BACHELOR	CHEMICAL ENGINEERING	BECA PARA LIDERES AFRODESCENDIENTES	MALE	ENGINEERING & APPLIED SCIENCES	CHOCO	Ph.D. ENVIRONMENTAL AND WATER RESOURCES	University of Texas at Austin	2011
EST. CUL	COROZAL	Caribe	UNIVERSIDAD DE SUCRE	Ph.D.	BACHELOR	BIOTECHNOLOGY	BECA DE ESTUDIOS CULTURALES PARA COMUNIDADES AFRODESCENDIENTES E INDIGENAS	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SUCRE	Ph.D. BIOMEDICAL SCIENCES	Louisiana State University and A&M College	2011
CALDAS	PALMIRA	Sur Occidente	UNIVERSIDAD ICESI	Ph.D.	BACHELOR	ECONOMICS, GENERAL	BECA COLCIENCIAS FULBRIGHT	FEMALE	BUSINESS ADMINISTRATION & MANAGEMENT	VALLE DEL CAUCA	MARKETING		2011
SRM	CARTAGENA	Caribe	UNIVERSIDAD NACIONAL DE COLOMBIA	MASTER'S	BACHELOR	CHEMICAL ENGINEERING	BECA FULBRIGHT - SURAMERICANA	MALE	BUSINESS ADMINISTRATION & MANAGEMENT	BOLIVAR	M.S. LOGISTICS AND MATERIALS MANAGEMENT	The University of Texas at Dallas	2012
LID	SANTANDER DE QUILICHAO	Sur Occidente	ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ	MASTER'S		ADMINISTRACION AERONAUTICA	BECA PARA LIDERES AFRODESCENDIENTES	MALE	HUMANITIES & SOCIAL SCIENCES	CAUCA	M.P.A. MASTER IN PUBLIC AFFAIRS	Old Dominion University	2010
EST. CUL	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	MASTER'S	BACHELOR	RELACIONES INTERNACIONALES	BECA DE ESTUDIOS CULTURALES PARA COMUNIDADES AFRODESCENDIENTES E INDIGENAS	FEMALE	BUSINESS ADMINISTRATION & MANAGEMENT	ATLANTICO	M.A. ARTS MANAGEMENT	University of Oregon	2010
REG	CUCUTA	Santanderes	UNIVERSIDAD FRANCISCO DE PAULA SANTANDER	MASTER'S	BACHELOR	INGENIERIA ELECTRONICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	NORTE DE SANTANDER	M.S. ELECTRONICAL & COMPUTER ENGINEERING	University of Delaware	2010
CERR	RIOHACHA	Caribe	UNIVERSIDAD DE LOS LLANOS	MASTER'S	BACHELOR	ECONOMICS	BECA FULBRIGHT - CERREJON PARA LA GUAJIRA	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	LA GUAJIRA	MASTER'S OF MARINE AFFAIRS	University of Washington	2010
LID	SAN ANDRES	Caribe	UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA	MASTER'S	BACHELOR	SYSTEMS ENGINEERING	BECA PARA LIDERES AFRODESCENDIENTES	FEMALE	ENGINEERING & APPLIED SCIENCES	ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA	M.S. COMPUTER SCIENCE	Worcester Polytechnic Institute	2011
ARTS	PASTO	Sur Occidente	UNIVERSIDAD DE LOS ANDES	MASTER'S	BACHELOR	HISTORIA	BECA FULBRIGHT - MINCULTURA PARA ARTISTAS	MALE	ART & ARCHITECTURE	NARIÑO	M.A. MUSEUM STUDIES	New York University	2010
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	INGENIERIA AGRONOMICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS	Ph.D. SOIL FERTILITY AND PLANT	University of California - Davis	2009
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD AUTONOMA DE MANIZALES	Ph.D.	BACHELOR	INGENIERIA DE SISTEMAS	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	ENGINEERING & APPLIED SCIENCES	CALDAS	COMPUTER SCIENCE	University of Arizona	2008
REG	POPAYAN	Sur Occidente	UNIVERSIDAD PONTIFICIA BOLIVARIANA	Ph.D.	BACHELOR	COMUNICACION SOCIAL	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	EDUCATION	CAUCA	HIGHER EDUCATION/HIGHER EDUCATION ADMINISTRATION	SUNY at Albany	2008
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD DE MANIZALES	Ph.D.	BACHELOR	COMUNICACION SOCIAL	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	HUMANITIES & SOCIAL SCIENCES	CALDAS	Ph.D. COMS-RHETORIC	Ohio University - Main Campus	2009
REG	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	MEDICINA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SANTANDER	EPIDEMIOLOGY	University of Wisconsin - Madison	2008
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD AUTONOMA DE MANIZALES	MASTER'S	BACHELOR	DISEÑO INDUSTRIAL	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ART & ARCHITECTURE	CALDAS	INTERACTIVE MEDIA DESIGN	University of Cincinnati	2008
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD PONTIFICIA BOLIVARIANA	Ph.D.	BACHELOR	FILOSOFIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	HUMANITIES & SOCIAL SCIENCES	CALDAS	Ph.D. PHILOSOPHY	Southern Illinois University Carbondale	2008
REG	PEREIRA	Eje Cafetero	UNIVERSIDAD DEL VALLE	MASTER'S	BACHELOR	BIOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	RISARALDA		University of Florida	2008
REG	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	FISIOTERAPIA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SANTANDER		University of South Carolina - Columbia	2008
REG	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	FILOSOFIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	HUMANITIES & SOCIAL SCIENCES	SANTANDER		SUNY Stony Brook	2008
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERIA INDUUSTRAIL	BECA FULBRIGHT-COLCIENCIAS-DNP	FEMALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	Ph.D. ECONOMIC DECISION ANALYSIS	University of Florida	2008
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERIA INDUUSTRAIL	BECA FULBRIGHT-COLCIENCIAS-DNP	FEMALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	INDUSTRIAL ENGINEERING	SUNY at Buffalo	2008
REG	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERO ELECTRONICO	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	SYSTEMS ENGINEERING	SUNY at Buffalo	2008
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERIA INDUUSTRAIL	BECA FULBRIGHT-COLCIENCIAS-DNP	FEMALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	SYSTEMS ENGINEERING	SUNY at Buffalo	2008
REG	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	MASTER'S	BACHELOR	PSICOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	EDUCATION	ATLANTICO	EDUCATIONAL PSYCHOLOGY	Purdue University	2008
REG	CARTAGENA	Caribe	UNIVERSIDAD PONTIFICIA BOLIVARIANA	Ph.D.	BACHELOR	INGENIERIA ELECTRONICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	BOLIVAR	Ph.D. ELECTRICAL ENGINEERING	Southern Illinois University Carbondale	2008
REG	PASTO	Sur Occidente	UNIVERSIDAD DE NARIÑO	MASTER'S	BACHELOR	BIOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	NARIÑO	MOLECULAR BIOLOGY	Ohio State University	2008
CLC-DNP	BUCARAMANGA	Santanderes	UNIVERSIDAD DE LOS ANDES	Ph.D.	BACHELOR	HISTORIA-ECONOMIA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	HUMANITIES & SOCIAL SCIENCES	SANTANDER		University of Illinois at Chicago	2008
REG	BARRANCABERMEJA	Santanderes	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	INGENIERIA AGRONOMICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SANTANDER	Ph.D. PLANT PHYSIOLOGY	Iowa State University	2008
REG	CARTAGENA	Caribe	UNIVERSIDAD TECNOLOGICA DE BOLIVAR	Ph.D.	BACHELOR	ECONOMIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	HUMANITIES & SOCIAL SCIENCES	BOLIVAR		Washington State University	2008
REG	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	INGENIERIA QUIMICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	SANTANDER		University of Wisconsin - Madison	2008
REG	BARRANQUILLA	Caribe	UNIVERSIDAD ESTATAL DE MOSCU	MASTER'S	BACHELOR	BIOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	ATLANTICO	Ph.D. MOLECULAR AND CELL BIOLOGY	University of Maryland - College Park	2009
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD DE ANTIOQUIA	Ph.D.	BACHELOR	BIOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS	Ph.D. GENNETICS AND DEVELOPMENT	Cornell University	2009
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD PEDAGOGICA NACIONAL	Ph.D.	BACHELOR	BIOLOGIA	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS	Ph.D. PLANT MOLECULAR BIOLOGY	University of Wisconsin - Madison	2009
REG	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	ECONOMIA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	HUMANITIES & SOCIAL SCIENCES	ATLANTICO	Ph.D. ECONOMICS	University of Missouri - Kansas City	2009
CLC-DNP	ARMENIA	Eje Cafetero	UNIVERSIDAD DEL QUINDIO	Ph.D.	BACHELOR	ELECTRICIDAD Y ELECTRONICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	QUINDIO	ELECTRICAL & ELECTRONIC ENGINEERING TECHNOLOGIES	Georgia Institute of Technology - Main Campus	2007
DU	POPAYAN	Sur Occidente	UNIVERSIDAD DEL TOLIMA	Ph.D.	BACHELOR	IDIOMAS	BECA PARA DESARROLLO UNIVERSITARIO	MALE	EDUCATION	CAUCA		Ball State University	2004
REG	MANIZALES	Eje Cafetero	UNIVERSIDAD DE CALDAS	Ph.D.	BACHELOR	INGENIERIA AGRONOMICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS	Ph.D. PLANT SCIENCES	University of Arizona	2009
DU	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	MASTER'S	BACHELOR	INGENIERIA CIVIL	BECA PARA DESARROLLO UNIVERSITARIO	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	CIVIL ENGINEERING	University of California, Berkeley	2005
CLC-DNP	SANTA MARTA	Caribe	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	INGENIERIA CIVIL	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	MAGDALENA	GEOTECHNICAL ENGINEERING	University of Illinois at Urbana-Champaign	2006
CLC-DNP	CUCUTA	Santanderes	UNIVERSIDAD NACIONAL DE COLOMBIA	Ph.D.	BACHELOR	INGENIERIA CIVIL	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	NORTE DE SANTANDER	HYDROLOGY	University of Arizona	2007
CLC-DNP	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	MASTER'S	BACHELOR	INGENIERIA CIVIL	BECA FULBRIGHT-COLCIENCIAS-DNP	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	SANTANDER	WATER RESOURCES MANAGEMENT	University of California, Merced	2005
DU	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	INGENIERIA CIVIL	BECA PARA DESARROLLO UNIVERSITARIO	MALE	ENGINEERING & APPLIED SCIENCES	SANTANDER	CIVIL ENGINEERING	University of Illinois at Urbana-Champaign	2005
REG	BUCARAMANGA	Santanderes	UNIVERSIDAD DEL CAUCA	Ph.D.	BACHELOR	INGENIERIA CIVIL	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	SANTANDER	Ph.D. ECOLOGYCAL SCIENCES AND ENGINEERING	University of Alabama at Birmingham	2009
DU	BUCARAMANGA	Santanderes	UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-	Ph.D.	BACHELOR	INGENIERIA DE SISTEMAS	BECA PARA DESARROLLO UNIVERSITARIO	MALE	ENGINEERING & APPLIED SCIENCES	SANTANDER		Kansas State University	2006
DU	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	INGENIERIA DE SISTEMAS	BECA PARA DESARROLLO UNIVERSITARIO	MALE	BUSINESS ADMINISTRATION & MANAGEMENT	SANTANDER		University of South Florida	2004
REG	VALLEDUPAR	Caribe	UNIVERSIDAD TECNOLOGICA DE BOLIVAR	Ph.D.	BACHELOR	INGENIERIA ELECTRICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	CESAR	Ph.D. ELECTRICAL ENGINEERING	Northeastern University	2010
DU	PEREIRA	Eje Cafetero	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP	Ph.D.	BACHELOR	INGENIERIA ELECTRICA	BECA PARA DESARROLLO UNIVERSITARIO	MALE	ENGINEERING & APPLIED SCIENCES	RISARALDA	ELECTRICAL & ELECTRONIC ENGINEERING TECHNOLOGIES	Purdue University	2006
FLB-CLC	PEREIRA	Eje Cafetero	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP	Ph.D.	BACHELOR	INGENIERIA ELECTRICA	BECA FULBRIGHT-COLCIENCIAS	MALE	ENGINEERING & APPLIED SCIENCES	RISARALDA	ELECTRICAL & ELECTRONIC ENGINEERING TECHNOLOGIES	Iowa State University	2004
REG	PEREIRA	Eje Cafetero	UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP	Ph.D.	BACHELOR	INGENIERIA ELECTRICA	BECA DE POSTGRADO PARA LAS REGIONES	MALE	ENGINEERING & APPLIED SCIENCES	RISARALDA	Ph.D. ELECTRICAL, ELECTRONICS AND COMMUNICATION ENGINEERING	University of Arkansas, Fayetteville	2009
CLC-DNP	BUCARAMANGA	Santanderes	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	INGENIERIA ELECTRICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	SANTANDER	BIOENGINEERING	University of Connecticut	2005
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERIA ELECTRONICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	ELECTRICAL & ELECTRONIC ENGINEERING TECHNOLOGIES	Georgia Institute of Technology - Main Campus	2005
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERIA ELECTRONICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	ELECTRICAL & ELECTRONIC ENGINEERING TECHNOLOGIES	University of Illinois at Urbana-Champaign	2005
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.	BACHELOR	INGENIERIA ELECTRONICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	ELECTRICAL & ELECTRONIC ENGINEERING TECHNOLOGIES	Georgia Institute of Technology - Main Campus	2005
DU	BARRANQUILLA	Caribe	UNIVERSIDAD PONTIFICIA BOLIVARIANA	MASTER'S	BACHELOR	INGENIERIA ELECTRONICA	BECA PARA DESARROLLO UNIVERSITARIO	FEMALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	TELECOMMUNICATIONS ENGINEERING	University of Pittsburgh - Main Campus	2004
CLC-DNP	CARTAGENA	Caribe	UNIVERSIDAD TECNOLOGICA DE BOLIVAR	Ph.D.	BACHELOR	INGENIERIA ELECTRONICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	BOLIVAR	ELECTRICAL & ELECTRONIC ENGINEERING TECHNOLOGIES	SUNY at Buffalo	2007
CLC-DNP	CARTAGENA	Caribe	UNIVERSIDAD INDUSTRIAL DE SANTANDER	Ph.D.	BACHELOR	INGENIERIA ELECTRONICA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	BOLIVAR	Ph.D. ELECTRONIC ENGINEERING	University of Connecticut	2007
